STOCK CODE	ITEM CODE	ITEM DESCRIPTION	PACKAGING	QTY	CONVF	TOTAL PCS	UNIT PRICE	TOTAL AMOUNT	ART_HIERC1	ART_HIERC2	ART_HIERC3	ART_HIERC4	DESC_CODE	ART_PRODT	S. TEXT	PLANT	WAREHOUSE	STORAGE BIN	WAREHOUSE GROUP	BOX BARCODE	BOX NO	OUT TYPE	OUT HEADER	DATE_TIME
22122010000000001	P16126	NOVO GIRLS PANTS SKINNY REGULAR WAIST NKG07	PCS	1	1.00	1	250.00000	250.00000	PANTS	CLOTHING	KIDS			FG		PL-001	W1-G1	ANGELES	ANGELES	33332200000000010001	1			2023-01-09 10:44:37
23010920000000001	313069105	BASIC Camisa De Chino Short Sleeve -Whisper Blue	PCS	1	3.00	3	120.00000	360.00000	TSHIRT	CLOTHING	MEN	TSHIRT BASIC		FG	ss	PL-001	W1-G1	ANGELES	ANGELES	333323000000030001	1			2023-01-09 11:31:10
23010920000000001	313069105	BASIC Camisa De Chino Short Sleeve -Whisper Blue	PCS	1	3.00	3	120.00000	360.00000	TSHIRT	CLOTHING	MEN	TSHIRT BASIC		FG	ss	PL-001	W1-G1	ANGELES	ANGELES	333323000000030002	2			2023-01-09 11:31:10
23010920000000001	313069105	BASIC Camisa De Chino Short Sleeve -Whisper Blue	PCS	1	3.00	3	120.00000	360.00000	TSHIRT	CLOTHING	MEN	TSHIRT BASIC		FG	ss	PL-001	W1-G1	ANGELES	ANGELES	333323000000030003	3			2023-01-09 11:31:10
23010920000000002	BP40	BARGAIN	PCS	1	2.00	2	40.00000	80.00000	PANTS	CLOTHING	ASSORTED	ASSORTED		FG	ss	PL-001	W1-G1	ANGELES	ANGELES	333323000000040001	1			2023-01-09 11:31:10
23010920000000002	BP40	BARGAIN	PCS	1	2.00	2	40.00000	80.00000	PANTS	CLOTHING	ASSORTED	ASSORTED		FG	ss	PL-001	W1-G1	ANGELES	ANGELES	333323000000040002	2			2023-01-09 11:31:10
23010920000000002	BP40	BARGAIN	PCS	1	2.00	2	40.00000	80.00000	PANTS	CLOTHING	ASSORTED	ASSORTED		FG	ss	PL-001	W1-G1	ANGELES	ANGELES	333323000000040003	3			2023-01-09 11:31:10
23010510000000001	LBT01503	#0216 YELLOW SLEEVELES asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	test 1	PL-001	W1-G1	ANGELES	ANGELES	333323000000010001	1			2023-01-10 16:14:17
23010510000000001	LBT01503	#0216 YELLOW SLEEVELES asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	test 1	PL-001	W1-G1	ANGELES	ANGELES	333323000000010002	2			2023-01-10 16:14:17
23010510000000001	LBT01503	#0216 YELLOW SLEEVELES asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	test 1	PL-001	W1-G1	ANGELES	ANGELES	333323000000010003	3			2023-01-10 16:14:17
23010510000000001	LBT01503	#0216 YELLOW SLEEVELES asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	test 1	PL-001	W1-G1	ANGELES	ANGELES	333323000000010004	4			2023-01-10 16:14:17
23010510000000001	LBT01503	#0216 YELLOW SLEEVELES asstd color	BOX	1	1.00	1	99.00000	99.00000	LOCAL	CLOTHING	WOMEN	DRESS		FG	test 1	PL-001	W1-G1	ANGELES	ANGELES	333323000000010005	5			2023-01-10 16:14:17
